run_id,top,status,NUM_RD_PORTS,NUM_WR_PORTS,BITWIDTH,NUM_REGS,NUM_BANKS,chip_area_um2,seq_area_um2,total_cells,ff_count,n_wires,n_wire_bits,n_pub_wires,n_ports,pnr_die_area_um2,pnr_core_area_um2,pnr_total_area_um2,pnr_active_area_um2,pnr_core_utilization,sweep
banking/NUM_RD_PORTS4_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32_NUM_BANKS1,regfile_banked,OK,4,1,32,32,1.0,134895.915,50164.5312,8508,1024,7364,8568,8,7,149888.994025,149165.4528,134900.64,134900.64,0.9043691918454728,banking
banking/NUM_RD_PORTS4_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32_NUM_BANKS2,regfile_banked,OK,4,1,32,32,2.0,204889.9482,100329.0624,12326,2048,10159,12386,9,7,227662.5796,227242.7136,204894.7488,204894.7488,0.9016559675513398,banking
banking/NUM_RD_PORTS4_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32_NUM_BANKS4,regfile_banked,OK,4,1,32,32,4.0,331977.8196,200658.1248,15616,4096,11403,15676,11,7,368867.949025,367234.56,331982.5824,331982.5824,0.9040069169960475,banking
banking/NUM_RD_PORTS4_NUM_WR_PORTS2_BITWIDTH32_NUM_REGS32_NUM_BANKS1,regfile_banked,OK,4,2,32,32,1.0,150392.0628,50164.5312,10676,1024,9532,10774,8,7,176984.283025,176424.9984,150435.5328,150435.5328,0.8526883047430991,banking
banking/NUM_RD_PORTS4_NUM_WR_PORTS2_BITWIDTH32_NUM_REGS32_NUM_BANKS2,regfile_banked,OK,4,2,32,32,2.0,225226.4616,100329.0624,14230,2048,12063,14328,9,7,265070.5225,264525.0048,225308.5632,225308.5632,0.8517476953467955,banking
banking/NUM_RD_PORTS4_NUM_WR_PORTS2_BITWIDTH32_NUM_REGS32_NUM_BANKS4,regfile_banked,OK,4,2,32,32,4.0,378865.0152,200658.1248,21348,4096,17135,21446,11,7,421136.1025,419164.5024,379024.5312,379024.5312,0.9042381428528143,banking
banking/NUM_RD_PORTS8_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32_NUM_BANKS1,regfile_banked,OK,8,1,32,32,1.0,206592.6114,50164.5312,15159,1024,13887,15239,8,7,229555.9744,228157.1712,206602.0992,206602.0992,0.9055253363870598,banking
banking/NUM_RD_PORTS8_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32_NUM_BANKS2,regfile_banked,OK,8,1,32,32,2.0,270089.3916,100329.0624,17951,2048,15656,18031,9,7,317763.327025,317385.7344,270098.8416,270098.8416,0.8510112847718463,banking
banking/NUM_RD_PORTS8_NUM_WR_PORTS1_BITWIDTH32_NUM_REGS32_NUM_BANKS4,regfile_banked,OK,8,1,32,32,4.0,398053.656,200658.1248,21234,4096,16893,21314,11,7,468307.5489,467979.12,398063.0304,398063.0304,0.8505999806145197,banking
banking/NUM_RD_PORTS8_NUM_WR_PORTS2_BITWIDTH32_NUM_REGS32_NUM_BANKS1,regfile_banked,OK,8,2,32,32,1.0,223469.5932,50164.5312,17288,1024,16016,17406,8,7,262963.84,261600.192,223517.7504,223517.7504,0.8544250242752115,banking
banking/NUM_RD_PORTS8_NUM_WR_PORTS2_BITWIDTH32_NUM_REGS32_NUM_BANKS2,regfile_banked,OK,8,2,32,32,2.0,289723.6944,100329.0624,19854,2048,17559,19972,9,7,340950.8881,339771.8016,289810.4832,289810.4832,0.8529562542720438,banking
